Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Survey Individual Value-B,Chrome 89.0.4389.82,,,2021-03-09 08:54:27,2021-03-09 08:55:05,38.332s,FAILED
,,,,,,,
Test Cases/Individual Value-B - DD,Chrome 89.0.4389.82,,,2021-03-09 08:54:29,2021-03-09 08:55:05,36.715s,FAILED
"openBrowser("""")",Chrome 89.0.4389.82,,,2021-03-09 08:54:30,2021-03-09 08:54:33,3.427s,PASSED
"navigateToUrl(""https://sister-uat.taf.co.id/pamela/Login.aspx?ReturnUrl=%2fpamela"")",Chrome 89.0.4389.82,,,2021-03-09 08:54:33,2021-03-09 08:54:36,3.409s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-09 08:54:36,2021-03-09 08:54:39,2.033s,PASSED
"setText(findTestObject(""Login/Field_Username""), username)",Chrome 89.0.4389.82,,,2021-03-09 08:54:39,2021-03-09 08:54:39,0.309s,PASSED
"setText(findTestObject(""Login/Field_Password""), password)",Chrome 89.0.4389.82,,,2021-03-09 08:54:39,2021-03-09 08:54:39,0.264s,PASSED
"click(findTestObject(""Login/Button_Sign_In""))",Chrome 89.0.4389.82,,,2021-03-09 08:54:39,2021-03-09 08:54:39,0.211s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-09 08:54:39,2021-03-09 08:54:41,2.014s,PASSED
"click(findTestObject(""Individual Value-B/Button_Individual_Value_B""))",Chrome 89.0.4389.82,,,2021-03-09 08:54:41,2021-03-09 08:54:46,4.204s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-09 08:54:46,2021-03-09 08:54:48,2.015s,PASSED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_01 - DD"", [""username"":"""", ""q1"":""""]))",Chrome 89.0.4389.82,,,2021-03-09 08:54:48,2021-03-09 08:55:03,15.791s,FAILED
Video,Chrome 89.0.4389.82,,,2021-03-09 08:55:05,2021-03-09 08:55:05,0.001s,PASSED
