Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Survey Individual Value-B,Chrome 89.0.4389.82,,,2021-03-08 10:28:51,2021-03-08 10:29:27,36.046s,FAILED
,,,,,,,
Test Cases/Individual Value-B - DD,Chrome 89.0.4389.82,,,2021-03-08 10:28:52,2021-03-08 10:29:27,34.393s,FAILED
"openBrowser("""")",Chrome 89.0.4389.82,,,2021-03-08 10:28:53,2021-03-08 10:28:56,3.236s,PASSED
"navigateToUrl(""https://sister-uat.taf.co.id/pamela/Login.aspx?ReturnUrl=%2fpamela"")",Chrome 89.0.4389.82,,,2021-03-08 10:28:56,2021-03-08 10:29:02,5.992s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-08 10:29:02,2021-03-08 10:29:04,2.061s,PASSED
"setText(findTestObject(""Login/Field_Username""), username)",Chrome 89.0.4389.82,,,2021-03-08 10:29:04,2021-03-08 10:29:05,0.415s,PASSED
"setText(findTestObject(""Login/Field_Password""), password)",Chrome 89.0.4389.82,,,2021-03-08 10:29:05,2021-03-08 10:29:05,0.349s,PASSED
"click(findTestObject(""Login/Button_Sign_In""))",Chrome 89.0.4389.82,,,2021-03-08 10:29:05,2021-03-08 10:29:05,0.235s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-08 10:29:05,2021-03-08 10:29:07,2.019s,PASSED
"click(findTestObject(""Individual Value-B/Button_Individual_Value_B""))",Chrome 89.0.4389.82,,,2021-03-08 10:29:07,2021-03-08 10:29:08,0.912s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-08 10:29:08,2021-03-08 10:29:10,2.015s,PASSED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_01 - DD""))",Chrome 89.0.4389.82,,,2021-03-08 10:29:10,2021-03-08 10:29:25,14.114s,FAILED
Video,Chrome 89.0.4389.82,,,2021-03-08 10:29:27,2021-03-08 10:29:27,0.001s,PASSED
