Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Survey Individual Value-B,Chrome 89.0.4389.82,,,2021-03-08 10:42:10,2021-03-08 10:43:11,1m - 0.704s,FAILED
,,,,,,,
Test Cases/Individual Value-B - DD,Chrome 89.0.4389.82,,,2021-03-08 10:42:12,2021-03-08 10:43:11,59.007s,FAILED
"openBrowser("""")",Chrome 89.0.4389.82,,,2021-03-08 10:42:13,2021-03-08 10:42:16,3.092s,PASSED
"navigateToUrl(""https://sister-uat.taf.co.id/pamela/Login.aspx?ReturnUrl=%2fpamela"")",Chrome 89.0.4389.82,,,2021-03-08 10:42:16,2021-03-08 10:42:24,8.278s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-08 10:42:24,2021-03-08 10:42:26,2.040s,PASSED
"setText(findTestObject(""Login/Field_Username""), username)",Chrome 89.0.4389.82,,,2021-03-08 10:42:26,2021-03-08 10:42:27,0.328s,PASSED
"setText(findTestObject(""Login/Field_Password""), password)",Chrome 89.0.4389.82,,,2021-03-08 10:42:27,2021-03-08 10:42:27,0.291s,PASSED
"click(findTestObject(""Login/Button_Sign_In""))",Chrome 89.0.4389.82,,,2021-03-08 10:42:27,2021-03-08 10:42:27,0.223s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-08 10:42:27,2021-03-08 10:42:29,2.023s,PASSED
"click(findTestObject(""Individual Value-B/Button_Individual_Value_B""))",Chrome 89.0.4389.82,,,2021-03-08 10:42:29,2021-03-08 10:42:30,1.032s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-08 10:42:30,2021-03-08 10:42:32,2.011s,PASSED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_01 - DD"", [""q1"":""""]))",Chrome 89.0.4389.82,,,2021-03-08 10:42:32,2021-03-08 10:43:04,31.626s,FAILED
Video,Chrome 89.0.4389.82,,,2021-03-08 10:43:11,2021-03-08 10:43:11,0.002s,PASSED
