Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Survey Individual Value-B,Chrome 89.0.4389.82,,,2021-03-08 13:11:29,2021-03-08 13:12:02,32.475s,FAILED
,,,,,,,
Test Cases/Individual Value-B - DD,Chrome 89.0.4389.82,,,2021-03-08 13:11:31,2021-03-08 13:12:02,30.516s,FAILED
"openBrowser("""")",Chrome 89.0.4389.82,,,2021-03-08 13:11:32,2021-03-08 13:11:36,3.512s,PASSED
"navigateToUrl(""https://sister-uat.taf.co.id/pamela/Login.aspx?ReturnUrl=%2fpamela"")",Chrome 89.0.4389.82,,,2021-03-08 13:11:36,2021-03-08 13:11:44,8.130s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-08 13:11:44,2021-03-08 13:11:46,2.066s,PASSED
"setText(findTestObject(""Login/Field_Username""), username)",Chrome 89.0.4389.82,,,2021-03-08 13:11:46,2021-03-08 13:11:46,0.375s,PASSED
"setText(findTestObject(""Login/Field_Password""), password)",Chrome 89.0.4389.82,,,2021-03-08 13:11:46,2021-03-08 13:11:47,0.326s,PASSED
"click(findTestObject(""Login/Button_Sign_In""))",Chrome 89.0.4389.82,,,2021-03-08 13:11:47,2021-03-08 13:11:47,0.272s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-08 13:11:47,2021-03-08 13:11:49,2.010s,PASSED
"click(findTestObject(""Individual Value-B/Button_Individual_Value_B""))",Chrome 89.0.4389.82,,,2021-03-08 13:11:49,2021-03-08 13:11:50,1.131s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-08 13:11:50,2021-03-08 13:11:52,2.014s,PASSED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_01 - DD""))",Chrome 89.0.4389.82,,,2021-03-08 13:11:52,2021-03-08 13:11:53,0.458s,PASSED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_02 - DD""))",Chrome 89.0.4389.82,,,2021-03-08 13:11:53,2021-03-08 13:12:00,7.146s,FAILED
Video,Chrome 89.0.4389.82,,,2021-03-08 13:12:02,2021-03-08 13:12:02,0.001s,PASSED
