Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Survey Individual Value-B,Chrome 89.0.4389.82,,,2021-03-09 09:07:55,2021-03-09 09:08:19,23.445s,FAILED
,,,,,,,
Test Cases/Individual Value-B - DD,Chrome 89.0.4389.82,,,2021-03-09 09:07:57,2021-03-09 09:08:19,21.947s,FAILED
"openBrowser("""")",Chrome 89.0.4389.82,,,2021-03-09 09:07:58,2021-03-09 09:08:01,3.398s,PASSED
"navigateToUrl(""https://sister-uat.taf.co.id/pamela/Login.aspx?ReturnUrl=%2fpamela"")",Chrome 89.0.4389.82,,,2021-03-09 09:08:01,2021-03-09 09:08:04,3.219s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-09 09:08:04,2021-03-09 09:08:06,2.054s,PASSED
"setText(findTestObject(""Login/Field_Username""), username)",Chrome 89.0.4389.82,,,2021-03-09 09:08:06,2021-03-09 09:08:07,0.432s,PASSED
"setText(findTestObject(""Login/Field_Password""), password)",Chrome 89.0.4389.82,,,2021-03-09 09:08:07,2021-03-09 09:08:07,0.354s,PASSED
"click(findTestObject(""Login/Button_Sign_In""))",Chrome 89.0.4389.82,,,2021-03-09 09:08:07,2021-03-09 09:08:07,0.261s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-09 09:08:07,2021-03-09 09:08:09,2.007s,PASSED
"click(findTestObject(""Individual Value-B/Button_Individual_Value_B""))",Chrome 89.0.4389.82,,,2021-03-09 09:08:09,2021-03-09 09:08:11,1.926s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-09 09:08:11,2021-03-09 09:08:13,2.010s,PASSED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_01 - DD"", [""username"":"""", ""q1"":""""]))",Chrome 89.0.4389.82,,,2021-03-09 09:08:13,2021-03-09 09:08:14,0.333s,PASSED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_02 - DD""))",Chrome 89.0.4389.82,,,2021-03-09 09:08:14,2021-03-09 09:08:17,3.009s,FAILED
Video,Chrome 89.0.4389.82,,,2021-03-09 09:08:19,2021-03-09 09:08:19,0.001s,PASSED
