Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Survey Individual Value-B,Chrome 89.0.4389.82,,,2021-03-08 09:26:07,2021-03-08 09:26:35,27.506s,ERROR
,,,,,,,
Test Cases/Individual Value-B - DD,Chrome 89.0.4389.82,,,2021-03-08 09:26:09,2021-03-08 09:26:35,25.601s,ERROR
"openBrowser("""")",Chrome 89.0.4389.82,,,2021-03-08 09:26:10,2021-03-08 09:26:13,3.052s,PASSED
"navigateToUrl(""https://sister-uat.taf.co.id/pamela/Login.aspx?ReturnUrl=%2fpamela"")",Chrome 89.0.4389.82,,,2021-03-08 09:26:13,2021-03-08 09:26:17,3.523s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-08 09:26:17,2021-03-08 09:26:19,2.046s,PASSED
"setText(findTestObject(""Login/Field_Username""), username)",Chrome 89.0.4389.82,,,2021-03-08 09:26:19,2021-03-08 09:26:19,0.409s,PASSED
"setText(findTestObject(""Login/Field_Password""), password)",Chrome 89.0.4389.82,,,2021-03-08 09:26:19,2021-03-08 09:26:20,0.344s,PASSED
"click(findTestObject(""Login/Button_Sign_In""))",Chrome 89.0.4389.82,,,2021-03-08 09:26:20,2021-03-08 09:26:20,0.253s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-08 09:26:20,2021-03-08 09:26:22,2.009s,PASSED
"click(findTestObject(""Individual Value-B/Button_Individual_Value_B""))",Chrome 89.0.4389.82,,,2021-03-08 09:26:22,2021-03-08 09:26:26,3.798s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-08 09:26:26,2021-03-08 09:26:28,2.013s,PASSED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_01 - DD""), q1)",Chrome 89.0.4389.82,,,2021-03-08 09:26:28,2021-03-08 09:26:28,0.057s,PASSED
Video,Chrome 89.0.4389.82,,,2021-03-08 09:26:35,2021-03-08 09:26:35,0.002s,PASSED
