Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Survey Individual Value-B,Chrome 89.0.4389.82,,,2021-03-10 11:21:02,2021-03-10 11:22:46,1m - 44.503s,FAILED
,,,,,,,
Test Cases/Individual Value-B - DD,Chrome 89.0.4389.82,,,2021-03-10 11:21:03,2021-03-10 11:22:46,1m - 42.952s,FAILED
"openBrowser("""")",Chrome 89.0.4389.82,,,2021-03-10 11:21:04,2021-03-10 11:21:07,3.335s,PASSED
"navigateToUrl(""https://sister-uat.taf.co.id/pamela/Login.aspx?ReturnUrl=%2fpamela"")",Chrome 89.0.4389.82,,,2021-03-10 11:21:07,2021-03-10 11:21:12,4.418s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-10 11:21:12,2021-03-10 11:21:14,2.056s,PASSED
"setText(findTestObject(""Login/Field_Username""), username)",Chrome 89.0.4389.82,,,2021-03-10 11:21:14,2021-03-10 11:21:14,0.335s,PASSED
"setText(findTestObject(""Login/Field_Password""), password)",Chrome 89.0.4389.82,,,2021-03-10 11:21:14,2021-03-10 11:21:15,0.301s,PASSED
"click(findTestObject(""Login/Button_Sign_In""))",Chrome 89.0.4389.82,,,2021-03-10 11:21:15,2021-03-10 11:21:15,0.202s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-10 11:21:15,2021-03-10 11:21:17,2.011s,PASSED
"click(findTestObject(""Individual Value-B/Button_Individual_Value_B""))",Chrome 89.0.4389.82,,,2021-03-10 11:21:17,2021-03-10 11:21:21,4.567s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-10 11:21:21,2021-03-10 11:21:23,2.013s,PASSED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_01 - DD"", [""username"":"""", ""q1"":""""]))",Chrome 89.0.4389.82,,,2021-03-10 11:21:23,2021-03-10 11:21:24,0.222s,PASSED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_02 - DD""))",Chrome 89.0.4389.82,,,2021-03-10 11:21:24,2021-03-10 11:21:24,0.164s,PASSED
"scrollToElement(findTestObject(""Leadership/Button_Next""), 3)",Chrome 89.0.4389.82,,,2021-03-10 11:21:24,2021-03-10 11:21:24,0.173s,PASSED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_03 - DD""))",Chrome 89.0.4389.82,,,2021-03-10 11:21:24,2021-03-10 11:21:24,0.237s,PASSED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_04 - DD""))",Chrome 89.0.4389.82,,,2021-03-10 11:21:24,2021-03-10 11:21:56,31.515s,FAILED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_05 - DD""))",Chrome 89.0.4389.82,,,2021-03-10 11:21:56,2021-03-10 11:21:56,0.239s,PASSED
delay(1),Chrome 89.0.4389.82,,,2021-03-10 11:21:56,2021-03-10 11:21:57,1.016s,PASSED
"click(findTestObject(""Individual Value-B/Button_Next""))",Chrome 89.0.4389.82,,,2021-03-10 11:21:57,2021-03-10 11:21:57,0.170s,PASSED
delay(1),Chrome 89.0.4389.82,,,2021-03-10 11:21:57,2021-03-10 11:21:58,1.013s,PASSED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_06 - DD""))",Chrome 89.0.4389.82,,,2021-03-10 11:21:58,2021-03-10 11:21:58,0.151s,PASSED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_07 - DD""))",Chrome 89.0.4389.82,,,2021-03-10 11:21:58,2021-03-10 11:21:58,0.202s,PASSED
"scrollToElement(findTestObject(""Leadership/Button_Next""), 3)",Chrome 89.0.4389.82,,,2021-03-10 11:21:58,2021-03-10 11:21:59,0.133s,PASSED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_08 - DD""))",Chrome 89.0.4389.82,,,2021-03-10 11:21:59,2021-03-10 11:21:59,0.166s,PASSED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_09 - DD""))",Chrome 89.0.4389.82,,,2021-03-10 11:21:59,2021-03-10 11:21:59,0.205s,PASSED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_10 - DD""))",Chrome 89.0.4389.82,,,2021-03-10 11:21:59,2021-03-10 11:21:59,0.170s,PASSED
delay(1),Chrome 89.0.4389.82,,,2021-03-10 11:21:59,2021-03-10 11:22:00,1.011s,PASSED
"click(findTestObject(""Individual Value-B/Button_Next""))",Chrome 89.0.4389.82,,,2021-03-10 11:22:00,2021-03-10 11:22:00,0.147s,PASSED
delay(1),Chrome 89.0.4389.82,,,2021-03-10 11:22:00,2021-03-10 11:22:01,1.008s,PASSED
