Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_11 - DD""))",Chrome 89.0.4389.82,,,2021-03-10 11:22:01,2021-03-10 11:22:01,0.159s,PASSED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_12 - DD""))",Chrome 89.0.4389.82,,,2021-03-10 11:22:01,2021-03-10 11:22:02,0.155s,PASSED
"scrollToElement(findTestObject(""Leadership/Button_Next""), 3)",Chrome 89.0.4389.82,,,2021-03-10 11:22:02,2021-03-10 11:22:02,0.136s,PASSED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_13 - DD""))",Chrome 89.0.4389.82,,,2021-03-10 11:22:02,2021-03-10 11:22:02,0.178s,PASSED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_14 - DD""))",Chrome 89.0.4389.82,,,2021-03-10 11:22:02,2021-03-10 11:22:02,0.149s,PASSED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_15 - DD""))",Chrome 89.0.4389.82,,,2021-03-10 11:22:02,2021-03-10 11:22:02,0.152s,PASSED
delay(1),Chrome 89.0.4389.82,,,2021-03-10 11:22:02,2021-03-10 11:22:03,1.015s,PASSED
"click(findTestObject(""Individual Value-B/Button_Next""))",Chrome 89.0.4389.82,,,2021-03-10 11:22:03,2021-03-10 11:22:03,0.133s,PASSED
delay(1),Chrome 89.0.4389.82,,,2021-03-10 11:22:03,2021-03-10 11:22:04,1.006s,PASSED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_16 - DD""))",Chrome 89.0.4389.82,,,2021-03-10 11:22:04,2021-03-10 11:22:05,0.159s,PASSED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_17 - DD""))",Chrome 89.0.4389.82,,,2021-03-10 11:22:05,2021-03-10 11:22:05,0.158s,PASSED
"scrollToElement(findTestObject(""Leadership/Button_Next""), 3)",Chrome 89.0.4389.82,,,2021-03-10 11:22:05,2021-03-10 11:22:05,0.118s,PASSED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_18 - DD""))",Chrome 89.0.4389.82,,,2021-03-10 11:22:05,2021-03-10 11:22:05,0.135s,PASSED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_19 - DD""))",Chrome 89.0.4389.82,,,2021-03-10 11:22:05,2021-03-10 11:22:05,0.169s,PASSED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_20 - DD""))",Chrome 89.0.4389.82,,,2021-03-10 11:22:05,2021-03-10 11:22:05,0.152s,PASSED
delay(1),Chrome 89.0.4389.82,,,2021-03-10 11:22:05,2021-03-10 11:22:06,1.012s,PASSED
"click(findTestObject(""Individual Value-B/Button_Submit""))",Chrome 89.0.4389.82,,,2021-03-10 11:22:06,2021-03-10 11:22:06,0.147s,PASSED
takeScreenshot(),Chrome 89.0.4389.82,,,2021-03-10 11:22:06,2021-03-10 11:22:07,0.368s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-10 11:22:07,2021-03-10 11:22:09,2.009s,PASSED
"click(findTestObject(""Individual Value-B/Button_Home""))",Chrome 89.0.4389.82,,,2021-03-10 11:22:09,2021-03-10 11:22:40,31.387s,FAILED
delay(3),Chrome 89.0.4389.82,,,2021-03-10 11:22:40,2021-03-10 11:22:43,3.007s,PASSED
closeBrowser(),Chrome 89.0.4389.82,,,2021-03-10 11:22:43,2021-03-10 11:22:44,0.892s,PASSED
Video,Chrome 89.0.4389.82,,,2021-03-10 11:22:46,2021-03-10 11:22:46,0.001s,PASSED
