Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Survey Individual Value-B,Chrome 89.0.4389.82,,,2021-03-08 09:01:37,2021-03-08 09:02:33,55.801s,FAILED
,,,,,,,
Test Cases/Individual Value-B - DD,Chrome 89.0.4389.82,,,2021-03-08 09:01:38,2021-03-08 09:02:33,54.320s,FAILED
"openBrowser("""")",Chrome 89.0.4389.82,,,2021-03-08 09:01:39,2021-03-08 09:01:42,2.983s,PASSED
"navigateToUrl(""https://sister-uat.taf.co.id/pamela/Login.aspx?ReturnUrl=%2fpamela"")",Chrome 89.0.4389.82,,,2021-03-08 09:01:42,2021-03-08 09:01:45,3.003s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-08 09:01:45,2021-03-08 09:01:47,2.053s,PASSED
"setText(findTestObject(""Login/Field_Username""), username)",Chrome 89.0.4389.82,,,2021-03-08 09:01:47,2021-03-08 09:01:48,0.372s,PASSED
"setText(findTestObject(""Login/Field_Password""), password)",Chrome 89.0.4389.82,,,2021-03-08 09:01:48,2021-03-08 09:01:48,0.289s,PASSED
"click(findTestObject(""Login/Button_Sign_In""))",Chrome 89.0.4389.82,,,2021-03-08 09:01:48,2021-03-08 09:01:48,0.212s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-08 09:01:48,2021-03-08 09:01:50,2.008s,PASSED
"click(findTestObject(""Individual Value-B/Button_Individual_Value_B""))",Chrome 89.0.4389.82,,,2021-03-08 09:01:50,2021-03-08 09:01:52,1.643s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-08 09:01:52,2021-03-08 09:01:54,2.014s,PASSED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_01 - DD""))",Chrome 89.0.4389.82,,,2021-03-08 09:01:54,2021-03-08 09:01:54,0.269s,PASSED
"click(findTestObject(""Individual Value-B/RadioButton_Question_No_02 - DD""))",Chrome 89.0.4389.82,,,2021-03-08 09:01:54,2021-03-08 09:02:26,31.481s,FAILED
Video,Chrome 89.0.4389.82,,,2021-03-08 09:02:33,2021-03-08 09:02:33,0.001s,PASSED
