Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Survey Individual Value-B,Chrome 89.0.4389.82,,,2021-03-08 09:44:39,2021-03-08 09:45:08,29.066s,ERROR
,,,,,,,
Test Cases/Individual Value-B - DD,Chrome 89.0.4389.82,,,2021-03-08 09:44:40,2021-03-08 09:45:08,27.385s,ERROR
"openBrowser("""")",Chrome 89.0.4389.82,,,2021-03-08 09:44:41,2021-03-08 09:44:45,3.408s,PASSED
"navigateToUrl(""https://sister-uat.taf.co.id/pamela/Login.aspx?ReturnUrl=%2fpamela"")",Chrome 89.0.4389.82,,,2021-03-08 09:44:45,2021-03-08 09:44:52,7.780s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-08 09:44:52,2021-03-08 09:44:54,2.044s,PASSED
"setText(findTestObject(""Login/Field_Username""), username)",Chrome 89.0.4389.82,,,2021-03-08 09:44:54,2021-03-08 09:44:55,0.399s,PASSED
"setText(findTestObject(""Login/Field_Password""), password)",Chrome 89.0.4389.82,,,2021-03-08 09:44:55,2021-03-08 09:44:55,0.333s,PASSED
"click(findTestObject(""Login/Button_Sign_In""))",Chrome 89.0.4389.82,,,2021-03-08 09:44:55,2021-03-08 09:44:55,0.247s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-08 09:44:55,2021-03-08 09:44:57,2.008s,PASSED
"click(findTestObject(""Individual Value-B/Button_Individual_Value_B""))",Chrome 89.0.4389.82,,,2021-03-08 09:44:57,2021-03-08 09:44:58,1.053s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-08 09:44:58,2021-03-08 09:45:00,2.018s,PASSED
"q1 = TestObject(q1).addProperty(""/html/body/section[2]/div/div/div/form/div[3]/div/div/div/div[3]/div[1]/table/tbody/tr/td[5]/input"", EQUALS, newXPath, true)",Chrome 89.0.4389.82,,,2021-03-08 09:45:00,2021-03-08 09:45:00,0.015s,PASSED
Video,Chrome 89.0.4389.82,,,2021-03-08 09:45:08,2021-03-08 09:45:08,0.001s,PASSED
