Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Survey Individual Value-B,Chrome 89.0.4389.82,,,2021-03-08 10:11:49,2021-03-08 10:12:40,50.631s,FAILED
,,,,,,,
Test Cases/Individual Value-B - DD,Chrome 89.0.4389.82,,,2021-03-08 10:11:51,2021-03-08 10:12:40,48.762s,FAILED
"openBrowser("""")",Chrome 89.0.4389.82,,,2021-03-08 10:11:52,2021-03-08 10:11:55,3.153s,PASSED
"navigateToUrl(""https://sister-uat.taf.co.id/pamela/Login.aspx?ReturnUrl=%2fpamela"")",Chrome 89.0.4389.82,,,2021-03-08 10:11:55,2021-03-08 10:11:59,3.976s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-08 10:11:59,2021-03-08 10:12:01,2.060s,PASSED
"setText(findTestObject(""Login/Field_Username""), username)",Chrome 89.0.4389.82,,,2021-03-08 10:12:01,2021-03-08 10:12:01,0.367s,PASSED
"setText(findTestObject(""Login/Field_Password""), password)",Chrome 89.0.4389.82,,,2021-03-08 10:12:01,2021-03-08 10:12:02,0.303s,PASSED
"click(findTestObject(""Login/Button_Sign_In""))",Chrome 89.0.4389.82,,,2021-03-08 10:12:02,2021-03-08 10:12:02,0.209s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-08 10:12:02,2021-03-08 10:12:04,2.020s,PASSED
"click(findTestObject(""Individual Value-B/Button_Individual_Value_B""))",Chrome 89.0.4389.82,,,2021-03-08 10:12:04,2021-03-08 10:12:13,9.445s,PASSED
delay(2),Chrome 89.0.4389.82,,,2021-03-08 10:12:13,2021-03-08 10:12:15,2.016s,PASSED
"tObj = findTestObject(""Individual Value-B/RadioButton_Question_No_01 - DD"", [""value"":""4""])",Chrome 89.0.4389.82,,,2021-03-08 10:12:15,2021-03-08 10:12:16,0.083s,PASSED
click(tObj),Chrome 89.0.4389.82,,,2021-03-08 10:12:16,2021-03-08 10:12:37,21.989s,FAILED
Video,Chrome 89.0.4389.82,,,2021-03-08 10:12:40,2021-03-08 10:12:40,0.000s,PASSED
